v,vw,o,c,h,l,t,n,date
33292721.0,253.747,247.4,253.92,257.91,245.73,1678680000000,444778,2023-03-13 04:00:00
33614078.0,259.1414,256.75,260.79,261.07,255.86,1678766400000,424540,2023-03-14 04:00:00
45990647.0,263.7382,259.98,265.44,266.48,259.21,1678852800000,609854,2023-03-15 04:00:00
54832140.0,272.5174,265.205,276.2,276.56,263.28,1678939200000,689137,2023-03-16 04:00:00
69527371.0,279.3912,278.26,279.43,283.33,276.3201,1679025600000,695574,2023-03-17 04:00:00
43466649.0,272.0137,276.98,272.23,277.48,269.85,1679284800000,604272,2023-03-20 04:00:00
34545504.0,272.3447,274.88,273.78,275.0,269.5191,1679371200000,425457,2023-03-21 04:00:00
34871230.0,275.8227,273.4,272.29,281.04,272.18,1679457600000,486919,2023-03-22 04:00:00
36610879.0,278.2622,277.94,277.66,281.06,275.2,1679544000000,447986,2023-03-23 04:00:00
28199962.0,278.6135,277.24,280.57,280.63,275.28,1679630400000,391637,2023-03-24 04:00:00
26840212.0,277.6231,280.5,276.38,281.4589,275.52,1679889600000,336991,2023-03-27 04:00:00
21878647.0,273.8328,275.79,275.23,276.14,272.0451,1679976000000,288361,2023-03-28 04:00:00
25087032.0,279.8952,278.96,280.51,281.1398,278.41,1680062400000,312671,2023-03-29 04:00:00
25053410.0,283.1788,284.23,284.05,284.46,281.48,1680148800000,338299,2023-03-30 04:00:00
32765976.0,286.5132,283.73,288.3,289.27,283.0,1680235200000,398970,2023-03-31 04:00:00
24743342.0,286.2717,286.52,287.23,288.27,283.95,1680494400000,351148,2023-04-03 04:00:00
25824299.0,287.9298,287.23,287.18,290.4499,285.67,1680580800000,351664,2023-04-04 04:00:00
22064770.0,284.4017,285.85,284.34,287.15,282.92,1680667200000,315075,2023-04-05 04:00:00
29770334.0,288.6584,283.21,291.6,292.08,282.03,1680753600000,391332,2023-04-06 04:00:00
23095494.0,287.7271,289.208,289.39,289.6,284.71,1681099200000,320739,2023-04-10 04:00:00
27011589.0,283.2909,285.75,282.83,285.98,281.64,1681185600000,397668,2023-04-11 04:00:00
27392932.0,284.4641,284.79,283.49,287.01,281.96,1681272000000,392791,2023-04-12 04:00:00
24212878.0,288.1325,283.59,289.84,289.9,283.17,1681358400000,319817,2023-04-13 04:00:00
20982817.0,285.9764,287.0,286.14,288.48,283.69,1681444800000,325336,2023-04-14 04:00:00
23836223.0,288.2686,289.93,288.8,291.6,286.16,1681704000000,327268,2023-04-17 04:00:00
20129345.0,288.499,291.57,288.37,291.755,287.01,1681790400000,283384,2023-04-18 04:00:00
17150271.0,287.4678,285.99,288.45,289.05,284.54,1681876800000,280116,2023-04-19 04:00:00
23244363.0,286.6919,285.25,286.11,289.03,285.08,1681963200000,307055,2023-04-20 04:00:00
21676387.0,285.0868,285.01,285.76,286.27,283.0608,1682049600000,312673,2023-04-21 04:00:00
26611014.0,281.7132,282.09,281.77,284.95,278.72,1682308800000,420683,2023-04-24 04:00:00
45759736.0,280.4904,279.51,275.42,281.6,275.37,1682395200000,616117,2023-04-25 04:00:00
64542982.0,296.0297,296.7,295.37,299.57,292.73,1682481600000,870311,2023-04-26 04:00:00
46462608.0,302.55,295.97,304.83,305.2,295.25,1682568000000,650723,2023-04-27 04:00:00
